account_title,account_number,normal_balance,description,is_active,expense_class,default_nature,default_apply_reserve
Other General Services,5-02-12-990,Debit,This account is used to record the cost of other general services contracted by the agency not otherwise classified under any of the specific general services accounts.,TRUE,MOOE,,TRUE
Repairs and Maintenance - Investment Property,5-02-13-010,Debit,This account is used to record the cost of repairs and maintenance on buildings/warehouses and other structures held for rent/lease or held for capital appreciation or both.,TRUE,MOOE,,TRUE
Repairs and Maintenance - Land Improvements,5-02-13-020,Debit,This account is used to record the cost of repairs and maintenance on Aquaculture structures and other land improvements constructed/ acquired/ developed for public use. Subsidiary ledger: 01- Aquaculture Structures 99- Other Land Improvement,TRUE,MOOE,,TRUE
Repairs and Maintenance - Infrastructure Assets,5-02-13-030,Debit,,TRUE,MOOE,,TRUE
Repairs and Maintenance - Buildings and Other Structures,5-02-13-040,Debit,This account is used to record the cost of repairs and maintenance on office buildings; school buildings; hospitals and health centers; markets; slaughterhouses; hotels and dormitories; and other structures. Subsidiary ledgers: 01 - Buildings 02 - School Buildings 03 - Hospitals and Health Centers 04 - Markets 05 - Slaughterhouses 06 - Hotels and Dormitories 99 - Other Structures,TRUE,MOOE,,TRUE
Repairs and Maintenance - Machinery and Equipment,5-02-13-050,Debit,"This account is used to record the cost of repairs and maintenance on office equipment; ICT equipment ; agricultural and forestry equipment; marine and fishery equipment; airport equipment; communication equipment; construction and heavy equipment; firefighting equipment and accessories ; military, police and security equipment; medical equipment; printing equipment; sports equipment; technical and scientific equipment; and other machinery and equipment. Subsidiary ledger: 01 - Machinery 02 - Office Equipment 03 - ICT Equipment 04 - Agricultural and Forestry Equipment 05 - Marine and Fishery Equipment 06 - Airport Equipment 07 - Communication Equipment 08 - Construction and Heavy Equipment 09 - Disaster Response and Rescue Equipment",TRUE,MOOE,,TRUE
Repairs and Maintenance - Transportation Equipment,5-02-13-060,Debit,This account is used to record the cost of repairs and maintenance on motor vehicles; train; aircraft; watercraft; and other transportation equipment. Subsidiary ledger: 01 - Motor Vehicles 02 - Train 03 - Aircraft 04 - Watercraft 99 - Other Transportation Equipment,TRUE,MOOE,,TRUE
Repairs and Maintenance - Furniture and Fixtures,5-02-13-070,Debit,This account is used to record the cost of repairs and maintenance on furniture and fixtures. Subsidiary ledger: 01 - Furniture and Fixtures,TRUE,MOOE,,TRUE
Repairs and Maintenance - Leased Assets,5-02-13-080,Debit,This account is used to record the cost of repairs and maintenance of buildings; and other leased assets acquired by a lessee under a finance lease. Subsidiary ledger: 01 - Buildings and Other Structures 02 - Machinery and Equipment 03 - Transportation Equipment 99 - Other Leased Assets,TRUE,MOOE,,TRUE
Repairs and Maintenance - Leased Assets Improvements,5-02-13-090,Debit,This account is used to record the cost of repairs and maintenance of improvements on land; buildings; and other leasehold improvements under lease contract/agreement. Subsidiary ledger: 01 - Land,TRUE,MOOE,,TRUE
Repairs and Maintenance - Semi-Expendable Machinery and Equipment Expense,5-02-13-210,Debit,"This account is debited to recognize the cost of the day-to-day servicing/repairs and maintenance of semi-expendable machinery and equipment. This account is credited, at year end, to close to the Income and Expense Summary account, among others. Subsidiary Ledgers: 01-Machinery 02-Office Equipment 03-Information and Communications Technology Equipment 04-Agricultural and Forestry Equipment 05-Marine and Fishery Equipment 06-Airport Equipment 07-Communications Equipment 08-Disaster Response and Rescue Equipment 09-Military, Police and Security Equipment 10-Medical, Dental and Laboratory Equipment 11-Printing Equipment 12-Sports Equipment 13-Technical and Scientific Equipment 14-Construction Equipment 99-Other Machinery and Equipment",TRUE,MOOE,,TRUE
"Repairs and Maintenance - Semi-Expendable Books, Furnitures and Fixtures",5-02-13-220,Debit,"This account is debited to recognize the cost of the day-to-day servicing/repairs and maintenance of semi-expendable furniture, fixtures and books. This account is credited, at year end, to close to the Income and Expense Summary account, among others. Subsidiary Ledgers: 01-Furniture and Fixtures 02-Books",TRUE,MOOE,,TRUE
"Repairs and Maintenance - Other Property, Plant and Equipment",5-02-13-990,Debit,"This account is used to record the cost of repairs and maintenance of other property, plant and equipment not falling under any of the specific property, plant and equipment account. Subsidiary Ledgers: 01 - Work/Zoo Animals 02 - Other Property, Plant and Equipment",TRUE,MOOE,,TRUE
Subsidy to National Government Agencies,5-02-14-020,Debit,This account is used to record the assistance without specific purpose granted to NGAs.,TRUE,MOOE,,FALSE
Subsidy to Other Local Government Units,5-02-14-030,Debit,This account is used to record the transfer of funds/assets without specific purpose to LGUs.,TRUE,MOOE,,FALSE
Subsidy to Other Funds,5-02-14-060,Debit,This account is used to record fund transfers to one fund from another fund maintained by the same LGU as expressly authorized by law.,TRUE,MOOE,,FALSE
Subsidy to General Fund Proper /Special Accounts,5-02-14-070,Debit,This account is used to record fund transfers to special accounts from the general fund proper or other economic enterprise of the same LGU.,TRUE,MOOE,,FALSE
Subsidy to Local Economic Enterprises,5-02-14-080,Debit,This account is used to record fund transfers to economic enterprises from the general fund proper or other economic enterprise of the same LGU.,TRUE,MOOE,,FALSE
Subsidy -Others,5-02-14-990,,,TRUE,MOOE,,FALSE
Transfers of Unspent Current Year DRRM Funds to the Trust Funds,5-02-15-010,Debit,This account is used to record the current year unspent disaster risk reduction and management funds to the Trust Fund.,TRUE,MOOE,,FALSE
